gene_id	gene_name
PF3D7_1451200	PF3D7-1451200
PF3D7_1451100	pfeef2
PF3D7_1211900	Pfatp4
PF3D7_1012700	pph
PF3D7_0626400	Sec14
PF3D7_0419900	PI4K
PF3D7_0321900	pfcarl
PF3D7_0109800	pfphers
PF3D7_0104300	Pfubp1
PF3D7_1116700	pfdpap1
PF3D7_1343700	k13
PF3D7_1022600	kelch10
PF3D7_0523000	mdr1
PF3D7_1408000	PM2
PF3D7_1447900	mdr2
mal_mito_3	cytb
PF3D7_1460900.1	arps10
PF3D7_0106300	atp6
PF3D7_1341900	pfv-atpase
PF3D7_0106900	pfispd
PF3D7_1322700	PF3D7-1322700
PF3D7_0319700	pfabcI3
PF3D7_1218300	Pfap2mu
PF3D7_0810800	dhps
PF3D7_1407900	PM1
PF3D7_0709700	pfpare
PF3D7_1408100	PM3
PF3D7_1147500	pfftb
PF3D7_1208400	pfaat2
PF3D7_0629500	pfaat1
PF3D7_1318100	fd
PF3D7_0509800	pfpi4k
PF3D7_0417200	dhfr-ts
PF3D7_0613800	PF3D7-0613800
PF3D7_1368700	mcp
PF3D7_0112200	Pfmrp1
PF3D7_0709000	crt
PF3D7_0720700	pib7
PF3D7_1362500	exo
PF3D7_0603300	DHODH
PF3D7_0218600	PF3D7-0218600
PF3D7_1229100	pfmrp2
